../../bgmaps/AR0043SR.map
(26,39) (7,54) (26,26)
(60,58) (30,56) (36,21)
(54,58) (25,8) (66,74)
(3,39) (49,57) (33,43)
(70,59) (48,55) (41,60)
(16,66) (17,59) (21,14)
(15,42) (71,72) (51,53)
(30,48) (33,28) (56,58)
(42,75) (24,58) (24,57)
(43,59) (37,54) (53,45)
(16,66) (14,47) (35,30)
(58,75) (6,46) (43,67)
(47,60) (39,38) (57,53)
(52,73) (12,68) (3,53)
(14,48) (15,65) (11,58)
(22,63) (13,65) (35,55)
(17,60) (3,41) (28,62)
(8,50) (47,71) (20,16)
(26,32) (51,65) (41,71)
(37,47) (20,54) (23,16)
(64,59) (56,49) (77,72)
(8,43) (9,51) (14,37)
(30,51) (4,62) (45,71)
(60,57) (23,49) (61,71)
(5,53) (5,47) (24,21)
(40,59) (70,65) (40,33)
(36,67) (56,66) (21,19)
(66,74) (44,23) (17,48)
(3,59) (65,64) (33,43)
(11,52) (28,50) (23,14)
(57,46) (8,48) (13,64)
(40,55) (52,59) (4,65)
(44,57) (33,30) (39,30)
(31,24) (17,39) (10,36)
(11,43) (43,70) (31,47)
(33,67) (51,72) (26,69)
(56,49) (55,60) (32,65)
(10,48) (16,41) (24,34)
(41,24) (50,62) (27,26)
(40,54) (30,55) (42,72)
(38,40) (44,61) (26,57)
(24,26) (77,64) (15,56)
(23,15) (60,57) (30,33)
(13,61) (47,72) (34,61)
(42,73) (23,23) (35,69)
(28,41) (56,54) (38,57)
(6,45) (20,42) (2,71)
(46,64) (70,56) (70,64)
(58,72) (33,34) (44,66)
(20,20) (34,21) (6,40)
(49,51) (38,32) (17,46)
(66,65) (33,32) (20,18)
(27,42) (7,62) (37,26)
(30,50) (20,53) (71,61)
(33,66) (33,59) (25,25)
(76,67) (42,40) (24,66)
(40,32) (55,63) (65,67)
(32,58) (14,63) (47,57)
(24,25) (44,35) (27,72)
(42,40) (23,50) (40,42)
(9,56) (52,49) (31,39)
(30,43) (15,65) (46,72)
(23,20) (64,68) (12,44)
(19,47) (27,33) (38,37)
(23,45) (24,49) (39,25)
(12,38) (56,62) (52,45)
(70,68) (2,52) (34,53)
(35,59) (59,69) (3,56)
(56,71) (16,41) (46,66)
(23,67) (70,77) (46,53)
(42,67) (65,75) (27,61)
(42,34) (16,68) (71,68)
(74,76) (15,68) (24,68)
(9,43) (6,56) (56,58)
(11,63) (39,72) (60,50)
(35,34) (35,64) (9,65)
(67,74) (26,66) (28,25)
(10,49) (21,42) (28,49)
(39,36) (38,30) (64,74)
(39,43) (70,65) (49,75)
(33,64) (5,49) (14,53)
(70,73) (13,69) (59,65)
(74,63) (15,53) (25,8)
(45,44) (35,53) (44,49)
(17,33) (56,66) (27,59)
(26,16) (76,74) (32,36)
(41,64) (31,23) (9,64)
(15,51) (24,34) (57,72)
(25,64) (42,40) (68,68)
(50,62) (10,64) (14,36)
(40,57) (45,34) (40,39)
(68,71) (33,33) (50,52)
(54,77) (36,65) (51,71)
(35,70) (61,70) (23,61)
(62,71) (18,53) (7,46)
(48,49) (45,23) (10,54)
(62,58) (39,32) (16,36)
(51,44) (12,71) (50,57)
(32,34) (5,50) (3,41)
(38,22) (15,40) (17,54)
(35,67) (72,63) (36,68)
(23,36) (2,69) (23,58)
(23,49) (23,20) (26,22)
(28,50) (51,47) (38,37)
(22,56) (43,70) (63,69)
(2,52) (66,67) (39,21)
(44,45) (50,68) (47,48)
(29,30) (2,70) (40,71)
(24,41) (27,41) (44,54)
(66,71) (74,74) (44,22)
(42,47) (75,63) (18,27)
(51,47) (42,54) (31,33)
(69,69) (31,56) (61,72)
(29,57) (27,19) (2,47)
(53,66) (76,75) (49,52)
(33,62) (19,24) (35,51)
(10,42) (13,58) (43,54)
(13,43) (33,46) (25,17)
(15,34) (2,65) (7,62)
(20,60) (39,36) (19,31)
(49,47) (10,42) (25,40)
(4,74) (31,51) (45,75)
(4,43) (18,41) (12,38)
(13,47) (44,23) (66,77)
(24,21) (23,53) (47,48)
(13,42) (10,53) (30,47)
(29,50) (19,32) (9,42)
(19,27) (49,65) (62,70)
(15,60) (26,15) (38,61)
(21,34) (45,48) (69,58)
(42,66) (29,28) (5,47)
(43,42) (11,44) (37,33)
(40,69) (49,73) (25,56)
(49,71) (74,75) (34,26)
(3,69) (40,52) (9,39)
(31,38) (31,68) (9,36)
(40,53) (38,65) (19,19)
(67,74) (46,48) (33,30)
(74,66) (7,63) (37,30)
(12,39) (2,39) (69,60)
(22,35) (45,74) (53,71)
(22,13) (38,33) (39,60)
(20,26) (19,28) (60,59)
(36,43) (3,43) (24,52)
(36,34) (50,66) (16,64)
(2,55) (72,64) (33,51)
(67,77) (30,41) (30,29)
(32,71) (21,47) (29,21)
(6,54) (22,49) (58,74)
(8,74) (39,40) (71,64)
(57,71) (19,42) (9,35)
(67,63) (24,59) (3,47)
(19,46) (48,57) (76,67)
(42,21) (40,25) (74,63)
(13,39) (10,53) (44,49)
(54,71) (40,31) (20,35)
(54,46) (33,19) (60,56)
(55,77) (39,39) (50,44)
(39,73) (49,74) (26,39)
(42,67) (47,68) (30,67)
