../../bgmaps/AR0082SR.map
(27,39) (32,33) (31,31) 27 28250 3642701 26496334
(28,27) (26,28) (17,29) 3 1600 30966 1463320
(28,31) (21,29) (21,28) 37 69000 7776918 68197051
(30,38) (32,41) (29,34) 11 3350 421620 2969334
(29,37) (32,36) (34,40) 33 38890 5613055 46126422
(29,33) (34,35) (30,39) 31 29750 4484084 35516913
(26,41) (27,25) (32,32) 23 7970 1425700 8351533
(27,30) (21,28) (18,30) 37 46560 6558203 54775261
(24,26) (29,33) (31,37) 27 18450 2947374 21885880
(21,30) (19,27) (25,39) 19 7080 1155181 8118035
(22,27) (30,42) (35,41) 37 25930 4209580 31330712
(29,38) (27,36) (28,38) 1 1360 30625 1462250
(21,31) (28,29) (26,37) 21 9780 1803171 10153554
(32,39) (32,42) (20,32) 21 8480 1385015 9108467
(22,27) (27,42) (33,41) 35 20950 3508002 24354829
(23,35) (21,28) (27,39) 13 2290 252710 2333921
(33,42) (28,41) (33,38) 9 1580 67847 1593317
(22,35) (30,40) (23,26) 17 4020 701655 4038984
(23,28) (30,35) (35,42) 31 23600 3733865 27513526
(26,41) (20,27) (24,38) 21 5200 862922 5259742
(22,32) (21,32) (22,34) 1 1270 30625 1462250
(29,31) (21,32) (27,27) 29 25100 4104751 29430055
(30,31) (32,33) (26,40) 27 18820 3159202 22174602
(31,40) (23,25) (24,27) 35 34510 5219566 39729295
(33,35) (33,34) (32,44) 1 1290 30625 1462250
(29,34) (32,41) (29,33) 1 1400 30625 1462250
(25,38) (32,40) (29,37) 33 42760 6293463 51385068
(28,41) (26,41) (27,30) 17 5120 882193 5104309
(30,32) (34,35) (30,37) 31 27710 4333461 33709725
(20,32) (19,29) (23,28) 35 31050 4682065 36103780
(33,34) (34,41) (31,38) 37 48660 6989739 59330366
(27,36) (22,29) (21,28) 37 67040 8996458 79441143
(28,39) (24,38) (27,40) 1 1630 30625 1462250
(21,32) (23,33) (33,40) 23 11040 1875752 11688510
(28,28) (17,29) (32,42) 23 6790 1172108 7210243
(31,41) (34,40) (34,35) 29 20960 3132904 24364672
(32,41) (23,26) (31,40) 1 1310 30625 1462250
(21,27) (28,40) (19,29) 19 6280 955682 7099488
(28,40) (31,38) (32,43) 35 42070 5936814 50681048
(25,27) (28,35) (19,26) 17 5450 867403 5596303
(29,30) (26,28) (27,42) 15 3120 469570 3196547
(33,34) (23,26) (22,26) 37 38990 5890795 46604027
(33,33) (25,26) (31,34) 3 1390 31704 1466215
(30,34) (20,28) (31,31) 25 16120 2813212 17727790
(23,33) (19,31) (32,33) 13 2240 279694 2454387
(22,32) (21,32) (35,41) 1 1530 30625 1462250
(32,41) (23,29) (23,26) 35 41780 6110802 50496045
(27,42) (26,41) (28,31) 3 1320 31189 1464188
(26,23) (32,40) (31,40) 37 24100 3773736 28532169
(22,30) (34,43) (28,30) 23 9230 1679854 9873953
(28,38) (32,41) (32,44) 39 45190 6439214 55698246
(25,37) (18,27) (29,34) 19 4390 751627 4654450
(23,33) (27,37) (30,42) 33 40960 6465152 51774335
(23,34) (32,41) (27,29) 21 8980 1740196 9399997
(32,36) (27,36) (23,33) 15 4010 633523 3721051
(29,33) (23,29) (26,23) 37 68640 9033564 82298108
(29,33) (26,41) (23,29) 17 5520 969720 5297045
(20,31) (27,38) (28,42) 31 24320 3813294 26779891
(25,24) (22,35) (22,36) 25 11310 1799034 12635858
(34,40) (23,25) (28,30) 27 12710 2237822 13588914
(19,30) (30,32) (32,39) 25 10990 2012754 12014833
(29,40) (32,42) (27,28) 21 11320 1847738 12289993
(18,27) (26,41) (21,29) 5 1340 33763 1475451
(31,40) (30,37) (21,28) 13 2600 358159 2678175
(29,34) (23,33) (29,30) 25 20190 3353136 22837024
(27,29) (22,27) (29,41) 17 4870 817907 5009293
(26,25) (27,38) (23,33) 21 8460 1424364 9149927
(29,38) (27,39) (29,37) 1 1470 30625 1462250
(23,33) (22,31) (28,42) 11 2080 193381 2097847
(23,25) (30,42) (21,32) 21 7170 1036744 7348039
(23,36) (28,40) (27,30) 21 10410 2004652 11004562
(22,34) (24,34) (19,29) 7 1530 47224 1526979
(19,29) (22,32) (30,42) 15 3100 375173 3337222
(21,30) (20,29) (20,31) 1 1360 30625 1462250
(29,28) (19,27) (24,34) 27 18590 3099261 21464369
(31,32) (34,42) (33,34) 31 26980 4135096 31482034
(21,30) (30,41) (30,39) 33 27400 4353774 31978947
(31,39) (30,30) (18,30) 27 16290 2658616 16313017
(33,39) (32,38) (20,27) 1 1590 30625 1462250
(22,31) (20,32) (32,42) 3 1590 31912 1466712
(32,38) (23,34) (31,35) 17 5840 931296 5340163
(26,38) (27,35) (29,34) 27 30050 4513924 32876068
(33,41) (26,40) (26,37) 17 5220 852110 4984222
(28,39) (19,31) (33,38) 15 3400 504401 3432687
(25,40) (26,27) (24,26) 33 24570 3850223 26240374
(26,37) (31,37) (35,41) 35 46640 6433290 53956158
(26,39) (34,35) (33,42) 33 35640 4898620 39109107
(23,36) (30,40) (21,32) 11 1980 180513 2084105
(22,34) (22,28) (20,30) 35 45310 6724224 55584147
(29,33) (24,36) (33,34) 21 7930 1441437 8895902
(28,31) (32,36) (30,41) 31 27600 4456227 33795981
(30,34) (30,32) (18,27) 23 8310 1525532 8877331
(29,38) (22,26) (33,41) 21 8590 1515877 9390600
(23,27) (29,38) (24,27) 1 1440 30625 1462250
(33,34) (25,26) (20,32) 31 26940 4336055 31202630
(29,33) (27,37) (32,37) 33 47290 7044543 58803698
(22,28) (35,42) (33,39) 39 42230 6246329 51603995
(29,38) (28,31) (29,34) 19 8230 1442103 8526742
(34,40) (35,41) (29,31) 3 1520 31465 1465392
(25,24) (33,33) (27,27) 19 4920 676938 5130706
(27,28) (29,41) (19,32) 21 6570 1066722 6554316
(27,25) (30,33) (23,33) 21 7450 1292262 8287885
(23,25) (25,28) (23,33) 7 1430 51653 1531719
(31,31) (32,36) (28,36) 33 46170 6684053 54589258
(30,32) (22,36) (23,35) 25 17500 2914812 18801291
(20,31) (24,28) (20,31) 0 0 0 0
(23,36) (30,38) (28,27) 21 9260 1740402 9192751
(32,33) (31,36) (28,41) 27 21460 3397701 24328608
(26,39) (26,38) (34,42) 1 1590 30625 1462250
(20,30) (21,29) (18,27) 1 1450 30625 1462250
(31,32) (26,29) (32,33) 1 1420 30625 1462250
(28,41) (27,36) (34,42) 11 2310 213716 2086775
(21,32) (25,27) (28,41) 15 3720 547980 3675812
(28,41) (21,30) (19,28) 35 42780 5795116 47266337
(21,27) (19,26) (30,35) 17 4160 612785 4565137
(30,41) (29,34) (23,28) 19 6710 1144356 6520347
(31,41) (32,42) (30,37) 1 1470 30625 1462250
(30,41) (34,35) (29,35) 21 11170 1688071 11713627
(31,33) (26,38) (29,39) 31 33070 5171824 39315793
(20,27) (25,39) (28,31) 21 8130 1309910 8514396
(26,29) (27,28) (30,38) 1 1420 30625 1462250
(22,30) (33,37) (33,42) 35 39320 5683311 46182695
(32,38) (33,42) (30,34) 7 1660 73312 1600832
(28,30) (24,28) (34,42) 17 4310 724998 4393383
(27,27) (21,29) (27,25) 35 40620 5629417 47041483
(31,38) (32,35) (31,31) 17 5980 949992 5977160
(33,35) (30,34) (28,27) 7 1560 64844 1564650
(27,40) (24,25) (29,39) 17 4010 646974 4065459
(17,29) (25,38) (27,25) 19 3910 565882 3869967
(32,36) (27,29) (18,28) 29 18950 3208339 20789253
(25,26) (31,39) (34,43) 37 32650 4940572 39417035
(32,38) (29,38) (22,30) 11 2200 230498 2109933
(25,38) (28,28) (28,35) 19 7310 1309360 7141953
(32,43) (32,38) (25,39) 15 2470 303590 2519531
(30,42) (25,38) (28,31) 19 5670 1004945 5744836
(24,24) (27,26) (26,40) 19 5160 815943 5637673
(32,34) (23,36) (21,31) 23 11190 1926608 10859272
(18,27) (24,38) (30,42) 29 11500 2193324 13344898
(23,28) (29,37) (19,26) 19 6240 1032456 6714179
(32,35) (32,40) (21,27) 17 4160 683373 4179933
(29,35) (28,29) (31,43) 23 12930 2232325 13985032
(29,35) (26,38) (23,28) 17 4820 839040 4830410
(29,33) (24,34) (32,41) 25 20440 3375235 22684264
(23,37) (24,25) (28,30) 27 16060 2810044 17017932
(26,23) (33,39) (28,27) 9 1490 45233 1528615
(24,37) (34,43) (28,35) 33 48650 6898449 56943273
(33,33) (30,39) (24,34) 23 14210 2363200 14706560
(31,31) (23,27) (26,38) 15 3240 421758 3044493
(23,29) (31,35) (20,27) 15 3980 552038 3823291
(32,35) (28,36) (32,41) 11 2870 340768 2655907
(20,33) (31,34) (32,40) 29 20360 3340339 22210785
(27,26) (20,30) (25,24) 35 31630 4641904 36796406
(33,40) (22,31) (21,27) 33 36450 5187530 40739295
(23,34) (23,26) (32,40) 19 5680 1101692 5915880
(28,30) (21,29) (25,39) 17 4810 880987 5040703
(21,34) (21,31) (25,25) 33 33490 5083545 38571957
(27,38) (21,34) (26,27) 29 29820 4535561 32954915
(29,36) (19,29) (25,38) 19 7090 1226858 6837965
(26,23) (22,29) (26,41) 11 1720 102034 1750432
(19,27) (34,35) (21,29) 5 1520 36205 1482402
(28,35) (32,34) (19,32) 13 2740 314623 2531654
(32,32) (26,29) (28,29) 29 21470 3522848 24035222
(22,34) (21,30) (33,39) 15 3250 520476 3476685
(23,33) (30,38) (26,40) 29 21700 3784938 26184997
(28,29) (33,42) (23,34) 23 10510 1909942 11938628
(34,41) (33,33) (23,27) 21 6290 1123373 6526257
(31,31) (29,35) (26,37) 23 12460 2362842 14136483
(23,28) (32,38) (18,29) 19 5400 875788 6047330
(20,33) (31,39) (28,36) 31 27860 4500370 33582409
(20,30) (32,38) (23,34) 21 7900 1439231 8985412
(30,31) (29,38) (31,38) 35 44430 6902853 57054984
(27,28) (26,41) (25,39) 31 18580 3236266 21983830
(29,31) (27,36) (22,36) 25 15370 2868683 17396146
(20,30) (30,38) (26,39) 29 15350 2763635 17047525
(23,37) (25,39) (31,37) 25 11450 2264784 13089336
(29,32) (32,44) (31,43) 39 35730 5489580 45818240
(20,29) (27,28) (20,27) 21 7680 1214365 8701478
(29,36) (22,35) (20,30) 25 15810 2842655 17362174
(27,42) (25,24) (20,31) 33 24090 4009877 29576359
(31,32) (30,37) (24,37) 27 18640 3439036 22379761
(29,37) (27,28) (26,23) 31 22440 3788477 25905271
(25,27) (27,41) (30,40) 33 18140 3180730 21467138
(34,40) (29,36) (29,39) 11 2230 203669 2089049
(30,38) (29,31) (29,38) 1 1550 30625 1462250
(22,29) (20,32) (24,27) 11 2310 206878 2138309
(27,38) (34,43) (29,37) 35 47970 6720162 57832940
(32,36) (22,26) (31,42) 19 5670 985485 5904608
(25,38) (30,32) (26,37) 1 1450 30625 1462250
(31,35) (33,40) (30,34) 1 1420 30625 1462250
(28,28) (26,40) (31,34) 27 14260 2577583 17203576
(32,38) (32,44) (18,28) 25 10580 1820837 11687032
(28,38) (28,31) (22,28) 27 24820 4120034 29272032
(31,35) (34,40) (33,35) 29 24570 3807642 29331752
(27,39) (23,37) (19,32) 23 8430 1467240 8727680
(28,39) (30,33) (23,29) 21 8930 1577423 9116193
(26,41) (27,36) (33,38) 11 1900 167938 1913546
(33,42) (22,29) (28,42) 15 3040 434289 3201785
(31,32) (24,37) (21,30) 19 5140 956694 5301819
(23,33) (23,36) (19,31) 5 1350 36657 1484621
(32,33) (33,37) (21,33) 19 6460 1219309 6907119
(28,39) (26,40) (33,35) 15 4520 679923 4505328
(25,39) (20,28) (25,38) 1 1400 30625 1462250
(29,36) (24,37) (28,30) 21 11330 2059840 11989716
(28,38) (30,40) (19,31) 19 7310 1290172 8137261
(30,31) (19,26) (28,27) 33 30720 4291324 31782728
(28,28) (24,38) (30,35) 23 11810 1746797 10563284
(25,37) (23,28) (29,38) 13 3880 478277 3212730
(35,41) (30,39) (20,32) 9 2030 86827 1652961
(25,37) (33,39) (20,27) 19 6010 857315 4906350
(25,39) (26,41) (28,41) 35 40120 4810189 37638443
(29,37) (23,25) (26,40) 17 5090 659062 4082597
(25,26) (34,35) (25,26) 0 0 0 0
(26,26) (21,30) (19,31) 29 20630 2844753 19872997
(32,35) (18,28) (27,28) 31 27080 3709415 25191835
(28,29) (31,35) (32,36) 31 33870 4294927 32005195
(29,33) (23,27) (27,35) 13 3390 355900 2733031
(27,40) (23,37) (19,26) 23 10400 1466586 8718356
(26,24) (26,28) (22,27) 9 1970 90813 1694826
(31,38) (19,31) (20,32) 31 33080 4284217 30748153
(33,35) (35,42) (26,23) 25 14610 1845016 12916233
